,Nets,Labels,Average Distance,Representative
49,Road_Traffic_Fine_Management_Process.66df6a66-6f3c-464c-8373-8cfb55bc84b5.pnml,0,0.675229533623647,False
50,Road_Traffic_Fine_Management_Process.e4c0b0fd-2577-456f-bae9-80cec9ff0213.pnml,0,0.6885543058623937,False
51,Road_Traffic_Fine_Management_Process.a58a4e50-5733-40bf-8263-588d157cfb43.pnml,0,0.7302009213357106,False
52,Road_Traffic_Fine_Management_Process.4bcb0e4e-1014-4d76-b2cd-057550b15fe3.pnml,0,0.7472031064684569,False
53,Road_Traffic_Fine_Management_Process.a51fd9b2-b593-40a5-8689-79a389e86ba1.pnml,0,0.7382550840383794,False
54,Road_Traffic_Fine_Management_Process.bff7ee3f-a2a4-47c7-944d-c99a2e3bb1a1.pnml,0,0.6781548564720526,False
55,Road_Traffic_Fine_Management_Process.2817b9f7-1ea6-4f8c-9156-86579cff6123.pnml,0,0.6670677640624391,False
56,Road_Traffic_Fine_Management_Process.e1b16dc9-4db9-4f73-b12d-cf5c56bb2934.pnml,0,0.6932913901524597,False
57,Road_Traffic_Fine_Management_Process.138aa43e-554b-461e-a599-f2f9f30834f3.pnml,0,0.7493341874194194,False
58,Road_Traffic_Fine_Management_Process.5c754bf5-8109-43c0-bf3a-25f586483378.pnml,0,0.7758004016798351,False
59,Road_Traffic_Fine_Management_Process.a0aebaea-8b53-4f5e-8057-363da680c85e.pnml,0,0.714037774576094,False
60,Road_Traffic_Fine_Management_Process.55873668-6d47-485e-af34-f205d5d255b3.pnml,16,1.0,True
61,Road_Traffic_Fine_Management_Process.38950e67-025a-47c7-b1ee-ef67ffaac447.pnml,0,0.6994206634964816,False
62,Road_Traffic_Fine_Management_Process.9eae332b-8632-4b67-b841-095da3746409.pnml,0,0.737275068902715,False
63,Road_Traffic_Fine_Management_Process.27681196-a6bc-4207-8d95-75a0f7cb5eb9.pnml,0,0.7689774307066017,False
64,Road_Traffic_Fine_Management_Process.1ab1d417-4a94-4b01-9137-e7d5360d7bf2.pnml,0,0.7000895468740298,False
65,Road_Traffic_Fine_Management_Process.b6bf4fc8-824f-44d2-98bf-ede111bad8c7.pnml,0,0.7155725624102112,False
66,Road_Traffic_Fine_Management_Process.d923e898-dd84-4e52-83ae-1568fb776444.pnml,0,0.7154556034413333,False
67,Road_Traffic_Fine_Management_Process.6d584b7d-d557-43c7-b889-d910e5383311.pnml,0,0.7067023831740341,False
68,Road_Traffic_Fine_Management_Process.bedc3593-f02d-4b43-901d-6556d90b7b2a.pnml,0,0.7125391250881113,False
69,Road_Traffic_Fine_Management_Process.5443e898-6d00-47b1-9024-39c56a449cbf.pnml,0,0.6869306518260133,False
70,Road_Traffic_Fine_Management_Process.63a8263d-d79c-40b0-9918-1bc270f4ef78.pnml,0,0.7391099699734767,False
71,Road_Traffic_Fine_Management_Process.720edc3d-827c-44cd-a0e5-a7fc675b47e0.pnml,0,0.7603328981896477,False
72,Road_Traffic_Fine_Management_Process.93bb8138-bac6-4772-90a9-5bfff72ba24a.pnml,0,0.7219513983862373,False
73,Road_Traffic_Fine_Management_Process.5cc08817-5eb4-4a40-bb87-81ff399a2465.pnml,0,0.7478018889528628,False
74,Road_Traffic_Fine_Management_Process.75eb5cd3-6abd-49c2-af89-fcbf6293a8b2.pnml,0,0.7873740763788978,False
75,Road_Traffic_Fine_Management_Process.dbdae73b-51c7-48a7-a6e4-041e26e2b241.pnml,0,0.7876227096078234,False
76,Road_Traffic_Fine_Management_Process.8cedd1ce-61da-470c-bf9e-c8323b9e8467.pnml,0,0.7707041927736328,False
77,Road_Traffic_Fine_Management_Process.c3949cca-fc5f-4840-a5a7-104624954476.pnml,0,0.7582325987133038,False
78,Road_Traffic_Fine_Management_Process.8cb6cb80-4666-40d5-a4f3-65a5e7b82899.pnml,0,0.7652785985548612,False
79,Road_Traffic_Fine_Management_Process.1e0d05ae-7465-4171-9404-8f29184647dc.pnml,0,0.6940622850389819,False
80,Road_Traffic_Fine_Management_Process.ae2e30a2-0277-4248-9155-3b78433d26ad.pnml,0,0.7073498244246174,False
81,Road_Traffic_Fine_Management_Process.38269d04-0606-4d57-a523-bdbd6999c0c4.pnml,0,0.6655810963690606,False
82,Road_Traffic_Fine_Management_Process.1d5fc1f6-e210-48b9-b618-c0d03eafb960.pnml,0,0.8070070680666739,False
83,Road_Traffic_Fine_Management_Process.21a75bee-8d5c-4335-920c-15da62e6ada7.pnml,0,0.7258962725591819,False
84,Road_Traffic_Fine_Management_Process.ddd9fbcc-afa8-46c4-b062-0a472a5d016f.pnml,0,0.7840036377990152,False
85,Road_Traffic_Fine_Management_Process.6e2ad7fa-e5ac-4f2a-9136-9b917c3ff38a.pnml,0,0.8209456681560507,False
86,Road_Traffic_Fine_Management_Process.5297a53b-4409-448e-902c-cc9172ebf80d.pnml,0,0.718791715768738,False
87,Road_Traffic_Fine_Management_Process.c7bcb5d5-b6e3-4d63-9b5b-5356854b3d9b.pnml,0,0.7000895468740298,False
88,Road_Traffic_Fine_Management_Process.a1d2c1a2-5673-4444-a66b-0f80b0077ad6.pnml,24,0.0,True
89,Road_Traffic_Fine_Management_Process.96b14ebe-abfb-4a20-ac87-06fcf4d4c9c6.pnml,0,0.7436229248811422,False
90,Road_Traffic_Fine_Management_Process.e41d9bfe-abe8-4223-877f-067307ed565e.pnml,0,0.7217752681189086,False
91,Road_Traffic_Fine_Management_Process.45081726-2aaf-41ee-98fd-cd41ff88c18a.pnml,0,0.7292440691624749,False
92,Road_Traffic_Fine_Management_Process.d9f438ce-21f1-47a1-b532-43e4b3b77716.pnml,0,0.741801449581089,False
93,Road_Traffic_Fine_Management_Process.b94f4efd-5113-4023-860a-19b90ceba72d.pnml,0,0.7484740618949923,False
94,Road_Traffic_Fine_Management_Process.9d5b8ec9-0777-45c5-9ac9-b783a443480e.pnml,0,0.862052710820296,False
95,Road_Traffic_Fine_Management_Process.d72bc64e-f420-431d-9e68-2512f3b74d02.pnml,0,0.7612075616238281,False
96,Road_Traffic_Fine_Management_Process.8d26c9e0-7267-4ce2-9d24-7f74dd054aaa.pnml,15,1.0,True
97,Road_Traffic_Fine_Management_Process.103776bb-98b2-4e8d-b480-cff4112dc131.pnml,0,0.7674053046704559,False
98,Road_Traffic_Fine_Management_Process.64d2100c-eb7c-4250-a813-e9d0db2543fe.pnml,0,0.7154556034413333,False
99,Road_Traffic_Fine_Management_Process.872eb01e-d14a-433c-8eb4-528e8b0f08d6.pnml,0,0.7787244382885186,False
100,Road_Traffic_Fine_Management_Process.ac811ae6-a02a-42da-aab6-ff144c15a3f6.pnml,0,0.863656483932108,False
101,Road_Traffic_Fine_Management_Process.c00dc5b7-bf89-4605-95e3-2380b953ed0d.pnml,0,0.69869775221912,False
102,Road_Traffic_Fine_Management_Process.448b2134-20ea-451b-8dc7-8d6e5ac280cf.pnml,0,0.7586261260329541,False
103,Road_Traffic_Fine_Management_Process.eb7c6a2e-ccbe-4e32-a244-f08a92b46951.pnml,0,0.7282220144269587,False
104,Road_Traffic_Fine_Management_Process.9f56effb-6db4-4dd8-a621-cca696336548.pnml,0,0.7612075616238281,False
105,Road_Traffic_Fine_Management_Process.8c25006f-31d1-4b69-b44b-508036cea631.pnml,0,0.6842912083441673,False
106,Road_Traffic_Fine_Management_Process.98545697-5772-4b13-a00e-34cab5f10cbe.pnml,0,0.7432972700013634,False
107,Road_Traffic_Fine_Management_Process.00316b95-9d6e-4887-86e3-eedc8668b1c4.pnml,0,0.7733044444147583,False
108,Road_Traffic_Fine_Management_Process.6777e2dd-f896-436e-b602-c0479308463d.pnml,0,0.7051477744551732,False
