,Nets,Labels,Average Distance,Representative
0,Road_Traffic_Fine_Management_Process.fa840826-bed4-4b26-847d-c281552113a4.pnml,2,0.3272134828038341,False
1,Road_Traffic_Fine_Management_Process.6c8b7683-8b5b-43ce-a3bb-648230ea4685.pnml,4,0.40590711406860713,False
2,Road_Traffic_Fine_Management_Process.adb965af-e7d9-4b25-8b8b-d1f42d4cbbac.pnml,2,0.28496425689585914,False
3,Road_Traffic_Fine_Management_Process.a5faedb7-c745-4ba9-b886-0e58be584ac2.pnml,1,0.30424588258878715,False
4,Road_Traffic_Fine_Management_Process.98f5381f-7c57-490f-8f93-60e81e6af32a.pnml,1,0.3384221342063442,False
5,Road_Traffic_Fine_Management_Process.785f7829-974b-420c-bd01-c3c79e8ae87d.pnml,4,0.4081419056679716,False
6,Road_Traffic_Fine_Management_Process.0d4c26fc-1361-46bf-a216-93ef0baf9592.pnml,5,0.32778938023664395,False
7,Road_Traffic_Fine_Management_Process.78787d78-6daf-4453-98c5-c0f917876241.pnml,5,0.33705739390942563,False
8,Road_Traffic_Fine_Management_Process.d7739741-3054-4eab-8532-22bfbcae2948.pnml,4,0.35065507762514925,False
9,Road_Traffic_Fine_Management_Process.a7d93c20-c4cb-4cca-b001-205482e0657b.pnml,5,0.42436219459054436,False
10,Road_Traffic_Fine_Management_Process.51e26df4-fbca-46b2-9287-622c2f3ee57b.pnml,0,0.3875691268346634,False
11,Road_Traffic_Fine_Management_Process.d8c704e9-a6d3-48af-bd01-911132b30255.pnml,2,0.26108811324234826,False
12,Road_Traffic_Fine_Management_Process.a1bd8e75-ce6c-4cb8-ac73-9bd5dbfc2a66.pnml,5,0.2915562411480359,False
13,Road_Traffic_Fine_Management_Process.93a6f209-e475-4b51-bbc2-b88bf8f597ac.pnml,2,0.27851088163821325,False
14,Road_Traffic_Fine_Management_Process.d6a7d718-59b5-46aa-bf2a-649937127c31.pnml,1,0.3336426321618143,False
15,Road_Traffic_Fine_Management_Process.beb351b8-8df5-4553-bcb3-5123c6b1fe87.pnml,4,0.3755148727578756,False
16,Road_Traffic_Fine_Management_Process.eed495e8-512d-4f6f-942b-290ef3ee0100.pnml,4,0.3703947378766547,False
17,Road_Traffic_Fine_Management_Process.89492dcf-cc26-4d0f-a94b-5a2dfee13fc3.pnml,1,0.3972900092048369,False
