,Name,Fitting Windows Score_x,Trace Support Score_x,Aggregated Score_x,index,Fitting Windows Score_y,Trace Support Score_y,Aggregated Score_y
0,BPI_Challenge_2012_res10939.513d4c6c-9061-408a-b27d-1caf05cd465f.pnml,0.0802671118530875,0.7755102040816326,0.9500389124934822,1,0.0802671118530875,0.7755102040816326,0.9500389124934822
1,BPI_Challenge_2012_res10939.3f39c6c0-701b-48ca-a708-891a0d84a8d5.pnml,0.0802671118530875,0.7755102040816326,0.9500384263927232,4,0.0802671118530875,0.7755102040816326,0.9500384263927232
2,BPI_Challenge_2012_res10939.a706665e-b162-46e1-96af-5b5492dc25d4.pnml,0.0802671118530875,0.7755102040816326,0.9500384263927232,3,0.0802671118530875,0.7755102040816326,0.9500384263927232
3,BPI_Challenge_2012_res10939.9f6ed0ac-1ce4-4a71-a691-9d8badf4f545.pnml,0.0802671118530875,0.7755102040816326,0.949948173685142,5,0.0802671118530875,0.7755102040816326,0.949948173685142
4,BPI_Challenge_2012_res10939.e5f74806-c865-4224-9071-3a8350748bdf.pnml,0.0799109627156378,0.7346938775510204,0.9413681758970512,6,0.0799109627156378,0.7346938775510204,0.9413681758970512
5,BPI_Challenge_2012_res10939.8f547add-4ce5-4793-a8f5-28aeeb007f8b.pnml,0.0799109627156378,0.7346938775510204,0.9412720220508972,10,0.0799109627156378,0.7346938775510204,0.9412720220508972
6,BPI_Challenge_2012_res10939.ddda80c4-08e2-4dec-b6e4-11d5733aac69.pnml,0.079287701725098,0.7346938775510204,0.9398517348912484,15,0.079287701725098,0.7346938775510204,0.9398517348912484
7,BPI_Challenge_2012_res10939.5d6bb7ea-2315-4494-9636-144c51aec31f.pnml,0.0746577629382309,0.7755102040816326,0.9367500098685508,16,0.0746577629382309,0.7755102040816326,0.9367500098685508
8,BPI_Challenge_2012_res10939.33fba7f5-489a-4548-bb5c-30c10b735b85.pnml,0.0802671118530875,0.7755102040816326,0.9300385236128752,17,0.0802671118530875,0.7755102040816326,0.9300385236128752
9,BPI_Challenge_2012_res10939.d1cfddb4-0d18-4ec4-a699-fe598dabd209.pnml,0.0751824469353676,0.7346938775510204,0.9298633403071058,18,0.0751824469353676,0.7346938775510204,0.9298633403071058
10,BPI_Challenge_2012_res10939.98f35535-e242-45e4-9fbd-a72e7cc4b24b.pnml,0.079287701725098,0.7346938775510204,0.9295604727553262,19,0.079287701725098,0.7346938775510204,0.9295604727553262
11,BPI_Challenge_2012_res10939.3239b77a-b737-467b-83a7-ab35f27f342d.pnml,0.0749773431910318,0.7346938775510204,0.929364307425094,20,0.0749773431910318,0.7346938775510204,0.929364307425094
12,BPI_Challenge_2012_res10939.70eccdf3-5283-4fc9-a3a9-2bf849377fd0.pnml,0.0739327450512761,0.7346938775510204,0.9268227213515956,32,0.0739327450512761,0.7346938775510204,0.9268227213515956
13,BPI_Challenge_2012_res10939.a617c0d4-547e-4e0a-8cdc-2a7a04e97821.pnml,0.0739327450512761,0.7346938775510204,0.9267148464864392,36,0.0739327450512761,0.7346938775510204,0.9267148464864392
14,BPI_Challenge_2012_res10939.a834c991-6d24-4c50-a9e4-0f98be0db752.pnml,0.0822004928849677,0.7551020408163265,0.9248281004709576,41,0.0822004928849677,0.7551020408163265,0.9248281004709576
15,BPI_Challenge_2012_res10939.c661a944-0c3f-44f0-a94b-f5ebfb47c432.pnml,0.0751824469353676,0.7346938775510204,0.9170748787686442,43,0.0751824469353676,0.7346938775510204,0.9170748787686442
16,BPI_Challenge_2012_res10939.f25f23c0-9892-4ca2-bb82-8755244ad75b.pnml,0.0682327689005479,0.7346938775510204,0.9129542493980156,45,0.0682327689005479,0.7346938775510204,0.9129542493980156
17,BPI_Challenge_2012_res10939.aab00c95-a746-4da0-ba7c-91f0d08d8ca3.pnml,0.0682327689005479,0.7346938775510204,0.9128483171946258,47,0.0682327689005479,0.7346938775510204,0.9128483171946258
18,BPI_Challenge_2012_res10939.b20c1c44-4477-4922-af73-d40b2c82e797.pnml,0.0802671118530875,0.7755102040816326,0.9101103368983328,49,0.0802671118530875,0.7755102040816326,0.9101103368983328
19,BPI_Challenge_2012_res10939.f6da9e92-fa01-4494-a208-357c28464990.pnml,0.0739327450512761,0.7346938775510204,0.9066069716212828,51,0.0739327450512761,0.7346938775510204,0.9066069716212828
20,BPI_Challenge_2012_res10939.6a344b73-a9f0-4b77-a095-5c3cac67589a.pnml,0.0746577629382309,0.7755102040816326,0.9034166765352174,54,0.0746577629382309,0.7755102040816326,0.9034166765352174
21,BPI_Challenge_2012_res10939.14dbe947-2aaa-4eea-9b7c-1b623a185192.pnml,0.079287701725098,0.7346938775510204,0.8998517348912485,75,0.079287701725098,0.7346938775510204,0.8998517348912485
22,BPI_Challenge_2012_res10939.05cbde28-05c2-490a-9b74-e2b2ec5bc17c.pnml,0.0682327689005479,0.7346938775510204,0.8960757183245691,88,0.0682327689005479,0.7346938775510204,0.8960757183245691
23,BPI_Challenge_2012_res10939.40b36612-a1ea-464c-8000-acec7418aca0.pnml,0.0574242785595036,0.7755102040816326,0.8944980989553531,92,0.0574242785595036,0.7755102040816326,0.8944980989553531
24,BPI_Challenge_2012_res10939.ef2ac688-29e4-4152-900a-404db298c840.pnml,0.0574242785595036,0.7755102040816326,0.8944621570104587,93,0.0574242785595036,0.7755102040816326,0.8944621570104587
25,BPI_Challenge_2012_res10939.cb591575-7cdf-4cd9-b08c-d3f7d72b1faa.pnml,0.0699499165275452,0.7551020408163265,0.8942950289407516,94,0.0699499165275452,0.7551020408163265,0.8942950289407516
26,BPI_Challenge_2012_res10939.6ce51b0a-5388-4552-a8f0-75ac57ac29ff.pnml,0.0599332220367275,0.7346938775510204,0.8927608258003374,182,0.0599332220367275,0.7346938775510204,0.8927608258003374
27,BPI_Challenge_2012_res10939.01683c87-d931-4f2b-a9fe-e699d5ff07b6.pnml,0.0594657762938226,0.7346938775510204,0.8916234950459853,184,0.0594657762938226,0.7346938775510204,0.8916234950459853
28,BPI_Challenge_2012_res10939.d305df92-3bf1-4503-aba8-a01bfc45481f.pnml,0.0594657762938226,0.7346938775510204,0.8916234950459853,183,0.0594657762938226,0.7346938775510204,0.8916234950459853
29,BPI_Challenge_2012_res10939.5ea3f5d5-6435-4b24-9c4a-8a1691a6e19f.pnml,0.0559933222036725,0.7755102040816326,0.8913380176054929,189,0.0559933222036725,0.7755102040816326,0.8913380176054929
30,BPI_Challenge_2012_res10939.ba0703b1-b513-4ccc-ac5c-812acf5f323a.pnml,0.059146196041021,0.7346938775510204,0.8908459321833175,199,0.059146196041021,0.7346938775510204,0.8908459321833175
31,BPI_Challenge_2012_res10939.32eec0cf-8907-420d-81c7-9ab92fb7ad75.pnml,0.059146196041021,0.7346938775510204,0.8908459321833175,213,0.059146196041021,0.7346938775510204,0.8908459321833175
32,BPI_Challenge_2012_res10939.dc28f93f-982a-4301-ad08-8a991c72dfe2.pnml,0.059146196041021,0.7346938775510204,0.8908459321833175,201,0.059146196041021,0.7346938775510204,0.8908459321833175
33,BPI_Challenge_2012_res10939.4fe04813-9541-4128-86c3-ad37e7aba1fa.pnml,0.059146196041021,0.7346938775510204,0.89071648234513,221,0.059146196041021,0.7346938775510204,0.89071648234513
34,BPI_Challenge_2012_res10939.4f7aa0ab-bb4a-4b32-ba99-72f8ca53b0b0.pnml,0.059146196041021,0.7346938775510204,0.89071648234513,226,0.059146196041021,0.7346938775510204,0.89071648234513
35,BPI_Challenge_2012_res10939.97dd4c28-e3dd-4fb7-b8ca-ff926ae4778c.pnml,0.059146196041021,0.7346938775510204,0.89071648234513,224,0.059146196041021,0.7346938775510204,0.89071648234513
36,BPI_Challenge_2012_res10939.3dd77a9f-7591-4698-896c-fd03b77ebdaa.pnml,0.0699499165275452,0.7551020408163265,0.8876686340208282,236,0.0699499165275452,0.7551020408163265,0.8876686340208282
