,Name,Fitting Windows Score_x,Trace Support Score_x,Aggregated Score_x,index,Fitting Windows Score_y,Trace Support Score_y,Aggregated Score_y
0,BPI_Challenge_2012_res10939.513d4c6c-9061-408a-b27d-1caf05cd465f.pnml,0.0802671118530875,0.7755102040816326,0.9500389124934822,1,0.0802671118530875,0.7755102040816326,0.9500389124934822
1,BPI_Challenge_2012_res10939.33fba7f5-489a-4548-bb5c-30c10b735b85.pnml,0.0802671118530875,0.7755102040816326,0.9300385236128752,17,0.0802671118530875,0.7755102040816326,0.9300385236128752
2,BPI_Challenge_2012_res10939.3239b77a-b737-467b-83a7-ab35f27f342d.pnml,0.0749773431910318,0.7346938775510204,0.929364307425094,20,0.0749773431910318,0.7346938775510204,0.929364307425094
3,BPI_Challenge_2012_res10939.f25f23c0-9892-4ca2-bb82-8755244ad75b.pnml,0.0682327689005479,0.7346938775510204,0.9129542493980156,45,0.0682327689005479,0.7346938775510204,0.9129542493980156
4,BPI_Challenge_2012_res10939.b20c1c44-4477-4922-af73-d40b2c82e797.pnml,0.0802671118530875,0.7755102040816326,0.9101103368983328,49,0.0802671118530875,0.7755102040816326,0.9101103368983328
5,BPI_Challenge_2012_res10939.7cee843c-87cc-4b8b-af57-c474081361a5.pnml,0.0802671118530875,0.7755102040816326,0.9001286791003045,67,0.0802671118530875,0.7755102040816326,0.9001286791003045
6,BPI_Challenge_2012_res10939.d3309062-02a1-445a-b9e5-5dbaaa8fd20c.pnml,0.079287701725098,0.7346938775510204,0.8998517348912485,69,0.079287701725098,0.7346938775510204,0.8998517348912485
7,BPI_Challenge_2012_res10939.ef2ac688-29e4-4152-900a-404db298c840.pnml,0.0574242785595036,0.7755102040816326,0.8944621570104587,93,0.0574242785595036,0.7755102040816326,0.8944621570104587
8,BPI_Challenge_2012_res10939.213991cd-80a5-4d96-89e3-e3852c68bc8b.pnml,0.0739327450512761,0.7346938775510204,0.8934893880182624,153,0.0739327450512761,0.7346938775510204,0.8934893880182624
9,BPI_Challenge_2012_res10939.ba0703b1-b513-4ccc-ac5c-812acf5f323a.pnml,0.059146196041021,0.7346938775510204,0.8908459321833175,199,0.059146196041021,0.7346938775510204,0.8908459321833175
10,BPI_Challenge_2012_res10939.3dd77a9f-7591-4698-896c-fd03b77ebdaa.pnml,0.0699499165275452,0.7551020408163265,0.8876686340208282,236,0.0699499165275452,0.7551020408163265,0.8876686340208282
11,BPI_Challenge_2012_res10939.d58c4587-9c3e-4b67-a3fd-0750ec7d3e93.pnml,0.0745480562842825,0.7346938775510204,0.878319819997628,272,0.0745480562842825,0.7346938775510204,0.878319819997628
12,BPI_Challenge_2012_res10939.0a5d1fe0-0108-42cc-8a8e-1a163bf51e28.pnml,0.0746577629382309,0.7755102040816326,0.8634166765352174,401,0.0746577629382309,0.7755102040816326,0.8634166765352174
13,BPI_Challenge_2012_res10939.23e23b26-1cb9-4d54-9372-76a0a5e31fcb.pnml,0.0682327689005479,0.7346938775510204,0.8629542493980156,403,0.0682327689005479,0.7346938775510204,0.8629542493980156
14,BPI_Challenge_2012_res10939.dd5a89f8-dcff-4817-8f1a-91a28d91d69f.pnml,0.0822004928849677,0.7551020408163265,0.8558601517530089,445,0.0822004928849677,0.7551020408163265,0.8558601517530089
15,BPI_Challenge_2012_res10939.2f710f49-8495-4ffb-8fa2-79869d0219e9.pnml,0.0443596470307656,0.7346938775510204,0.8547073307173043,457,0.0443596470307656,0.7346938775510204,0.8547073307173043
16,BPI_Challenge_2012_res10939.a91f2521-0fb6-44bc-aa4a-82ecf351fb65.pnml,0.0736942523253042,0.7346938775510204,0.8512424505585588,509,0.0736942523253042,0.7346938775510204,0.8512424505585588
17,BPI_Challenge_2012_res10939.cf8be85f-d928-4b24-a31d-ca50fd011c8b.pnml,0.059146196041021,0.7346938775510204,0.8508459321833175,547,0.059146196041021,0.7346938775510204,0.8508459321833175
18,BPI_Challenge_2012_res10939.33cc8684-298c-4aba-a744-5137834e9ab6.pnml,0.059146196041021,0.7346938775510204,0.8508459321833175,514,0.059146196041021,0.7346938775510204,0.8508459321833175
19,BPI_Challenge_2012_res10939.24641e50-1e24-46e1-aff6-027745bcd695.pnml,0.0589554018602435,0.7346938775510204,0.8503817155488882,590,0.0589554018602435,0.7346938775510204,0.8503817155488882
20,BPI_Challenge_2012_res10939.0b2f1bf0-4dc1-47fc-b66d-a07ab5dea585.pnml,0.0739756737419501,0.7346938775510204,0.8469271700943398,611,0.0739756737419501,0.7346938775510204,0.8469271700943398
21,BPI_Challenge_2012_res10939.58fcf38e-b2f7-48c9-9f90-ee74b641c4e3.pnml,0.0682327689005479,0.7346938775510204,0.8462028369686371,616,0.0682327689005479,0.7346938775510204,0.8462028369686371
22,BPI_Challenge_2012_res10939.0430608a-e736-40ed-8675-f5dcd920e81b.pnml,0.0460767946577629,0.7551020408163265,0.8388698257015891,784,0.0460767946577629,0.7551020408163265,0.8388698257015891
23,BPI_Challenge_2012_res10939.d4a74017-2aec-4cdf-a254-d37a0c8ea83e.pnml,0.0432784800063597,0.6530612244897959,0.8359120514743603,866,0.0432784800063597,0.6530612244897959,0.8359120514743603
24,BPI_Challenge_2012_res10939.395bae8a-7600-49ef-aa01-b8837a803724.pnml,0.0678034819937986,0.7346938775510204,0.8319097619705496,955,0.0678034819937986,0.7346938775510204,0.8319097619705496
25,BPI_Challenge_2012_res10939.7af9877a-405c-40ae-acc1-6a3b71df6c82.pnml,0.059146196041021,0.7346938775510204,0.824179265516651,1095,0.059146196041021,0.7346938775510204,0.824179265516651
