Name,Fitting Windows Score,Trace Support Score,Aggregated Score
BPI_Challenge_2012.42f6f4b5-31ec-4ce9-9920-f7cbab67fa76.pnml,0.04122114798207552,0.3832047069611064,0.8646803509293939
BPI_Challenge_2012.a237a467-dfbc-4546-8ce5-275e152e940e.pnml,0.04374794588920825,0.3832047069611064,0.8382477265433103
BPI_Challenge_2012.739d1476-bdc2-4b4e-b493-f5605161a773.pnml,0.03287983254273328,0.38251700160464586,0.826818263679321
BPI_Challenge_2012.26067b10-1b56-4f20-bb76-c9c9a0f0ff68.pnml,0.030274473137062184,0.3832047069611064,0.815045031100718
BPI_Challenge_2012.49359932-cca9-466f-9251-7d6965732591.pnml,0.0264415683476275,0.3832047069611064,0.7975223579258836
BPI_Challenge_2012.59f57045-b104-421d-a759-2dbe086c9601.pnml,0.026250437185070846,0.38213494307327883,0.7964346216658171
BPI_Challenge_2012.14fefe07-1996-44e9-a138-eb160dd86634.pnml,0.026250437185070846,0.38213494307327883,0.7964346216658171
BPI_Challenge_2012.bf39c526-9abe-452b-bc3c-f60408d07801.pnml,0.026250437185070846,0.38213494307327883,0.7964346216658171
BPI_Challenge_2012.ef5f3afe-100e-4a4f-a02a-9817f656ba8a.pnml,0.026250437185070846,0.38213494307327883,0.7964346216658171
BPI_Challenge_2012.1d144675-a373-4a1a-9bb2-4387465926b0.pnml,0.026250437185070846,0.38213494307327883,0.7964346216658171
BPI_Challenge_2012.6f1a2188-bac9-4cdb-988f-dc240fc23c11.pnml,0.026250437185070846,0.38213494307327883,0.7964346216658171
BPI_Challenge_2012.ee2786ec-66cd-4aaa-ba15-1e3f002576ee.pnml,0.026250437185070846,0.38213494307327883,0.7964346216658171
BPI_Challenge_2012.f71f3f97-5ecc-46ec-8247-28ffe53340b7.pnml,0.019687827888807415,0.38213494307327883,0.7664327134030464
BPI_Challenge_2012.a6a20566-5d85-43de-93cd-351e8d1ae3a8.pnml,0.019687827888807415,0.38213494307327883,0.7664327134030464
BPI_Challenge_2012.a3f5fa3e-a262-489b-8330-cc952711f5f4.pnml,0.019687827888807415,0.38213494307327883,0.7664327134030464
BPI_Challenge_2012.6fa1059b-7eb1-4c39-94dd-137d0960740b.pnml,0.019687827888807415,0.38213494307327883,0.7664327134030464
BPI_Challenge_2012.4db0c08e-492f-4745-bf51-b918e456acc6.pnml,0.019687827888807415,0.38213494307327883,0.7664327134030464
BPI_Challenge_2012.7c725818-e282-471a-b20b-94f1d1cf1a35.pnml,0.019687827888807415,0.38213494307327883,0.7664327134030464
BPI_Challenge_2012.deb29457-823b-4a86-ac7b-571f30ff36f8.pnml,0.019687827888807415,0.38213494307327883,0.7664327134030464
BPI_Challenge_2012.a530454b-c1cd-4b9e-b29b-37ce66971481.pnml,0.017462797527508154,0.37961335676625657,0.7557563511869638
BPI_Challenge_2012.23ae4d95-9a4f-406b-941a-b35499c08d7a.pnml,0.017462797527508154,0.37961335676625657,0.7557563511869638
BPI_Challenge_2012.600fbcc5-f219-4a2a-80a5-aa5bd70e42fd.pnml,0.013099734437530446,0.37961335676625657,0.7358099834145103
BPI_Challenge_2012.cd39e8b2-28b1-4198-b70a-3ad32f2ee26f.pnml,0.013099734437530446,0.37961335676625657,0.7358099834145103
BPI_Challenge_2012.1e102033-f675-4f9c-9b2c-762a90873267.pnml,0.013097098145633175,0.37961335676625657,0.7357979312285451
BPI_Challenge_2012.e953b676-9ff4-4ddb-afed-a935f03ff880.pnml,0.013094461853735907,0.3795369450599832,0.7357705967013252
BPI_Challenge_2012.92593b44-560a-47fd-8603-4817985b62b4.pnml,0.014818303833226017,0.1610758768243295,0.6999591735436759
BPI_Challenge_2012.e66579b1-ffba-4be4-8549-9e16e261a29d.pnml,0.013831305439022749,0.16099946511805607,0.6954316866902238
