Name,Fitting Windows Score,Trace Support Score,Aggregated Score
BPI_Challenge_2012.e7c90d39-8fa9-49c3-ade5-477c5ae002e3.pnml,0.025049328023598282,0.38213494307327883,0.8764269886146557
BPI_Challenge_2012.43c8aa74-a6f7-4ac1-9538-a5986ec9f4aa.pnml,0.025049328023598282,0.38213494307327883,0.8764269886146557
BPI_Challenge_2012.3c900653-3559-4c4b-99a1-450e3809ac4c.pnml,0.0015295251176702786,0.06067089478108046,0.6243462839374703
BPI_Challenge_2012.8dd76103-bafb-44e6-9846-82efd111ccf7.pnml,0.0015295251176702786,0.06067089478108046,0.6243462839374703
BPI_Challenge_2012.ad1bf3ca-655d-4ea2-9473-bf66c02e7092.pnml,0.0011588836143751854,0.051883548559639336,0.6189162549480172
BPI_Challenge_2012.ed1fce6d-1c1e-4d4b-8b68-f48f4bf79640.pnml,5.299670363857605E-4,0.024146099182394742,0.6090606070887556
BPI_Challenge_2012.162d629b-9220-4c6d-9b71-b3bc6949b7a1.pnml,5.064874841408216E-4,0.023076335294567128,0.6086591877873551
BPI_Challenge_2012.f0bf0a5d-1dfa-4880-a132-0be5f80354cf.pnml,4.04183720787873E-4,0.017345457324062046,0.6066961937679728
BPI_Challenge_2012.612a8436-d4af-4f20-b99f-9a0d232df47e.pnml,4.04183720787873E-4,0.017345457324062046,0.6066961937679728
BPI_Challenge_2012.a2859b40-7f76-4c87-a156-f2efe35b6bf5.pnml,7.429601174648497E-4,0.02873080155879881,0.6051095092935597
BPI_Challenge_2012.bd28b87c-883f-46e7-980e-e7d3c881e7af.pnml,0.0012611873777281302,0.03751814778023993,0.6046907328320996
BPI_Challenge_2012.512eca77-bc93-41c9-8f0f-416bba7f4bb5.pnml,2.6330640731824087E-4,0.01199663788492397,0.6045016307371349
BPI_Challenge_2012.e7cb3bd3-ae71-4082-866c-b57882a73b73.pnml,2.6330640731824087E-4,0.01199663788492397,0.6045016307371349
BPI_Challenge_2012.a251888a-c848-436c-ad70-c7ed35c1965e.pnml,2.5827507469432514E-4,0.006953465270879498,0.6034528248163613
BPI_Challenge_2012.608ddf76-3edc-4ddf-9ec5-b0ee2c3fdbd1.pnml,1.6771108746384763E-4,0.005348819439138076,0.6024088104866494
BPI_Challenge_2012.28e062b2-6736-4d93-965e-c796b0063e42.pnml,1.0565798510222417E-4,0.004813937495224269,0.6018063868563026
BPI_Challenge_2012.9bb8d0cf-c586-48f5-9c1d-32e008557adc.pnml,1.0062665247830871E-4,0.0036677619011232523,0.6015369803395176
BPI_Challenge_2012.f576ee6a-4ad7-4050-b116-d2640003a3d7.pnml,8.217843285728548E-5,0.0037441736073966533,0.601404967554902
BPI_Challenge_2012.19b0bbee-d7b8-4667-bf8d-b39ea17f819d.pnml,8.0501321982647E-5,0.0036677619011232523,0.6013762947476591
BPI_Challenge_2012.59c5682d-b8f2-4923-b110-cfeb99da5e09.pnml,8.385554373192396E-5,0.0030564682509360433,0.601280816949598
BPI_Challenge_2012.c0bb00d8-1916-4c98-b241-048b66ba25ab.pnml,6.373021323626219E-5,0.002903644838389241,0.6010895666752301
BPI_Challenge_2012.a90ce7e4-81e1-4089-a259-d8b411318672.pnml,6.373021323626219E-5,0.002903644838389241,0.6010895666752301
BPI_Challenge_2012.b90f09a3-c8b8-4afc-a379-1f7bd06f6972.pnml,5.869888061234672E-5,0.002674409719569038,0.6010035482535014
BPI_Challenge_2012.dc0aa59e-61bf-411b-8567-a3b26c3592a7.pnml,5.869888061234672E-5,0.002674409719569038,0.6010035482535014
BPI_Challenge_2012.8da129a6-99e6-481a-a3c0-5c008765975b.pnml,5.031332623915432E-5,0.0022923511882020327,0.6008601842172869
BPI_Challenge_2012.2d62f1dc-d53c-42a2-a272-db4ef00346f2.pnml,5.031332623915432E-5,0.0022923511882020327,0.6008601842172869
BPI_Challenge_2012.095a9248-4c32-4aca-b60b-2481ece88852.pnml,5.031332623915432E-5,0.0021395277756552306,0.6008296195347775
BPI_Challenge_2012.c6ff70a1-7215-4587-9879-bcddb5808011.pnml,4.528199361523888E-5,0.002063116069381829,0.6007741657955582
BPI_Challenge_2012.bfc1c94b-6ac2-4396-a6e3-81d17d5dddfa.pnml,4.528199361523888E-5,0.002063116069381829,0.6007741657955582
BPI_Challenge_2012.556b3e57-a88f-406f-9dcc-cb6a9930bc56.pnml,4.528199361523888E-5,0.002063116069381829,0.6007741657955582
BPI_Challenge_2012.eb904056-a521-40b2-b062-3a1631ce37d1.pnml,2.3479552244938682E-5,0.0010697638878276153,0.6004014193014006
BPI_Challenge_2012.fca66884-d13e-48c0-9f07-d464ed54ff5f.pnml,2.1802441370300204E-5,9.93352181554214E-4,0.6003727464941576
BPI_Challenge_2012.de927382-50d5-4217-b33e-9b1c084d5c44.pnml,1.8867497339682875E-5,6.877053564606098E-4,0.6002881838136596
BPI_Challenge_2012.4e949a7e-3d6a-4192-a3a0-83b8673711a8.pnml,1.6771108746384774E-5,7.641170627340108E-4,0.600286728072429
BPI_Challenge_2012.657dbf1d-d38b-4348-ae4f-ce19325ee3ff.pnml,1.1739776122469345E-5,5.348819439138076E-4,0.6002007096507003
