Event Log,Distance Threshold,Measure,Num Clusters,efg,full,ged,node,transition
artificialBig,0.1,efg,7,0.3267251461988305,0.3523035502079621,0.015029809948870364,0.021521368893050438,0.0
artificialBig,0.1,full,13,0.2,0.2,-0.04362699827000869,-0.041932367149758384,0.0
artificialBig,0.1,ged,12,-0.10054761904761902,-0.02079365079365083,0.14100124226132288,0.061192810457516254,0.006666666666666665
artificialBig,0.1,node,8,0.06617234590249944,-0.09364462610941485,0.09987977205628992,0.14111728108419555,0.0
artificialBig,0.1,transition,4,0.6261588041588042,0.22375237335763662,0.20644479079075823,0.4932554713804714,0.8
artificialBig,0.2,efg,4,0.6261588041588042,0.22375237335763662,0.20644479079075823,0.4932554713804714,0.8
artificialBig,0.2,full,8,0.2752777777777778,0.32054113787447136,-0.014667537788701666,-0.002933051040245277,0.0
artificialBig,0.2,ged,3,0.48859210552332244,0.31638459204103114,0.34611351410929625,0.45123484160800564,0.74
artificialBig,0.2,node,4,0.6261588041588042,0.22375237335763662,0.20644479079075823,0.4932554713804714,0.8
artificialBig,0.2,transition,4,0.6261588041588042,0.22375237335763662,0.20644479079075823,0.4932554713804714,0.8
artificialBig,0.3,efg,4,0.6261588041588042,0.22375237335763662,0.20644479079075823,0.4932554713804714,0.8
artificialBig,0.3,full,6,0.35874933665400405,0.43526350781387746,0.14118873422471967,0.14765279691804997,0.06666666666666667
artificialBig,0.3,ged,2,0.7205538083114741,0.5121880798269411,0.5395618006214854,0.756820865219153,0.8917608836907082
artificialBig,0.3,node,3,0.663895022703796,0.2987523733576366,0.2956185799645474,0.5730693511943513,0.8666666666666667
artificialBig,0.3,transition,2,0.7205538083114741,0.5121880798269411,0.5395618006214854,0.756820865219153,0.8917608836907082
artificialBig,0.4,efg,4,0.6261588041588042,0.22375237335763662,0.20644479079075823,0.4932554713804714,0.8
artificialBig,0.4,full,4,0.10744953088252235,0.470831448150837,0.1174820279412691,0.022801642854153002,-0.058333333333333334
artificialBig,0.4,node,2,0.7205538083114741,0.5121880798269411,0.5395618006214854,0.756820865219153,0.8917608836907082
artificialBig,0.4,transition,2,0.7205538083114741,0.5121880798269411,0.5395618006214854,0.756820865219153,0.8917608836907082
artificialBig,0.5,efg,4,0.6261588041588042,0.22375237335763662,0.20644479079075823,0.4932554713804714,0.8
artificialBig,0.5,full,2,0.7205538083114741,0.5121880798269411,0.5395618006214854,0.756820865219153,0.8917608836907082
artificialBig,0.5,node,2,0.7205538083114741,0.5121880798269411,0.5395618006214854,0.756820865219153,0.8917608836907082
artificialBig,0.5,transition,2,0.7205538083114741,0.5121880798269411,0.5395618006214854,0.756820865219153,0.8917608836907082
artificialBig,0.6,efg,4,0.6261588041588042,0.22375237335763662,0.20644479079075823,0.4932554713804714,0.8
artificialBig,0.6,full,2,0.7205538083114741,0.5121880798269411,0.5395618006214854,0.756820865219153,0.8917608836907082
artificialBig,0.6,node,2,0.7205538083114741,0.5121880798269411,0.5395618006214854,0.756820865219153,0.8917608836907082
artificialBig,0.6,transition,2,0.7205538083114741,0.5121880798269411,0.5395618006214854,0.756820865219153,0.8917608836907082
artificialBig,0.7,efg,2,0.7205538083114741,0.5121880798269411,0.5395618006214854,0.756820865219153,0.8917608836907082
artificialBig,0.7,full,2,0.7205538083114741,0.5121880798269411,0.5395618006214854,0.756820865219153,0.8917608836907082
artificialBig,0.8,efg,2,0.7205538083114741,0.5121880798269411,0.5395618006214854,0.756820865219153,0.8917608836907082
artificialBig,0.9,efg,2,0.7205538083114741,0.5121880798269411,0.5395618006214854,0.756820865219153,0.8917608836907082
artificialBig,0.1,efg,10,0.2825120772946861,0.16666666666666669,-0.004124160734860159,-0.00872695107845134,0.0
artificialBig,0.1,full,13,0.2,0.2,-0.04362699827000869,-0.041932367149758384,0.0
artificialBig,0.1,ged,12,-0.10054761904761902,-0.02079365079365083,0.14100124226132288,0.061192810457516254,0.006666666666666665
artificialBig,0.1,node,9,0.01917989417989418,-0.14492063492063495,0.07266091080665595,0.10794710806697118,0.0
artificialBig,0.1,transition,4,0.6261588041588042,0.22375237335763662,0.20644479079075823,0.4932554713804714,0.8
artificialBig,0.2,efg,5,0.19569414667710225,0.13009531905535832,0.05623815311762201,0.1273693837576108,0.0
