,efg,full,node,transition,ged
efg,0.9999999999999999,0.46145723302229813,0.5505617414195197,0.49528384459554536,-0.05211741020007971
full,0.46145723302229813,1.0,0.039000926691112436,-0.11725753532779576,-0.025019655444061102
node,0.5505617414195197,0.039000926691112436,0.9999999999999999,0.9175156261182177,0.19644506521234
transition,0.49528384459554536,-0.11725753532779576,0.9175156261182177,1.0,0.24242524460698112
ged,-0.05211741020007971,-0.025019655444061102,0.19644506521234,0.24242524460698112,1.0
